2013-09-22 12:49:39 [INFO] Starting minecraft server version 1.6.4
2013-09-22 12:49:39 [INFO] Loading properties
2013-09-22 12:49:39 [WARNING] server.properties does not exist
2013-09-22 12:49:39 [INFO] Generating new properties file
2013-09-22 12:49:39 [INFO] Default game type: SURVIVAL
2013-09-22 12:49:39 [INFO] Generating keypair
2013-09-22 12:49:44 [INFO] Starting Minecraft server on *:25565
2013-09-22 12:49:51 [INFO] This server is running CraftBukkit version git-Bukkit-1.6.2-R1.0-16-g8a54306 (MC: 1.6.4) (Implementing API version 1.6.4-R0.1-SNAPSHOT)
2013-09-22 12:49:52 [WARNING] Failed to load operators list: java.io.FileNotFoundException: .\ops.txt (The system cannot find the file specified)
2013-09-22 12:49:52 [WARNING] Failed to load white-list: java.io.FileNotFoundException: .\white-list.txt (The system cannot find the file specified)
2013-09-22 12:49:52 [WARNING] Could not get information about this CraftBukkit version; perhaps you are running a custom one?: FileNotFoundException
2013-09-22 12:49:53 [INFO] Preparing level "world"
2013-09-22 12:49:59 [INFO] Preparing start region for level 0 (Seed: -558526835051398823)
2013-09-22 12:50:00 [INFO] Preparing spawn area: 0%
2013-09-22 12:50:01 [INFO] Preparing spawn area: 0%
2013-09-22 12:50:02 [INFO] Preparing spawn area: 3%
2013-09-22 12:50:04 [INFO] Preparing spawn area: 4%
2013-09-22 12:50:06 [INFO] Preparing spawn area: 4%
2013-09-22 12:50:07 [INFO] Preparing spawn area: 5%
2013-09-22 12:50:08 [INFO] Preparing spawn area: 5%
2013-09-22 12:50:11 [INFO] Preparing spawn area: 6%
2013-09-22 12:50:12 [INFO] Preparing spawn area: 7%
2013-09-22 12:50:13 [INFO] Preparing spawn area: 8%
2013-09-22 12:50:14 [INFO] Preparing spawn area: 10%
2013-09-22 12:50:15 [INFO] Preparing spawn area: 11%
2013-09-22 12:50:16 [INFO] Preparing spawn area: 12%
2013-09-22 12:50:17 [INFO] Preparing spawn area: 13%
2013-09-22 12:50:18 [INFO] Preparing spawn area: 14%
2013-09-22 12:50:19 [INFO] Preparing spawn area: 15%
2013-09-22 12:50:21 [INFO] Preparing spawn area: 16%
2013-09-22 12:50:22 [INFO] Preparing spawn area: 17%
2013-09-22 12:50:23 [INFO] Preparing spawn area: 18%
2013-09-22 12:50:25 [INFO] Preparing spawn area: 19%
2013-09-22 12:50:26 [INFO] Preparing spawn area: 20%
2013-09-22 12:50:27 [INFO] Preparing spawn area: 20%
2013-09-22 12:50:28 [INFO] Preparing spawn area: 21%
2013-09-22 12:50:29 [INFO] Preparing spawn area: 23%
2013-09-22 12:50:30 [INFO] Preparing spawn area: 24%
2013-09-22 12:50:32 [INFO] Preparing spawn area: 26%
2013-09-22 12:50:33 [INFO] Preparing spawn area: 28%
2013-09-22 12:50:34 [INFO] Preparing spawn area: 30%
2013-09-22 12:50:35 [INFO] Preparing spawn area: 31%
2013-09-22 12:50:36 [INFO] Preparing spawn area: 32%
2013-09-22 12:50:37 [INFO] Preparing spawn area: 33%
2013-09-22 12:50:38 [INFO] Preparing spawn area: 34%
2013-09-22 12:50:39 [INFO] Preparing spawn area: 35%
2013-09-22 12:50:41 [INFO] Preparing spawn area: 36%
2013-09-22 12:50:42 [INFO] Preparing spawn area: 37%
2013-09-22 12:50:43 [INFO] Preparing spawn area: 38%
2013-09-22 12:50:46 [INFO] Preparing spawn area: 39%
2013-09-22 12:50:47 [INFO] Preparing spawn area: 40%
2013-09-22 12:50:48 [INFO] Preparing spawn area: 41%
2013-09-22 12:50:49 [INFO] Preparing spawn area: 41%
2013-09-22 12:50:50 [INFO] Preparing spawn area: 42%
2013-09-22 12:50:51 [INFO] Preparing spawn area: 43%
2013-09-22 12:50:52 [INFO] Preparing spawn area: 44%
2013-09-22 12:50:53 [INFO] Preparing spawn area: 45%
2013-09-22 12:50:55 [INFO] Preparing spawn area: 45%
2013-09-22 12:50:56 [INFO] Preparing spawn area: 47%
2013-09-22 12:50:57 [INFO] Preparing spawn area: 48%
2013-09-22 12:50:58 [INFO] Preparing spawn area: 49%
2013-09-22 12:50:59 [INFO] Preparing spawn area: 51%
2013-09-22 12:51:00 [INFO] Preparing spawn area: 52%
2013-09-22 12:51:01 [INFO] Preparing spawn area: 53%
2013-09-22 12:51:02 [INFO] Preparing spawn area: 54%
2013-09-22 12:51:03 [INFO] Preparing spawn area: 56%
2013-09-22 12:51:05 [INFO] Preparing spawn area: 57%
2013-09-22 12:51:06 [INFO] Preparing spawn area: 58%
